,Unnamed: 0.1,Unnamed: 0,chunk,질의응답,vector,vector2
,,,"3. 특구와 관련된 다음 각목의 투자유치사업
    가. 국내외 투자유치와 이를 위한 마케팅 및 홍보
    나. 국내외 투자자에 대한 상담·안내·홍보·조사와 민원사무의 처리대행 등 종합적 지원
    다. 그 밖에 내국인과 외국인 투자지원을 위하여 필요한 사항
   4. 과학기술정보통신부장관이 정하는 수익사업 ( 
   5. 직장어린이집 설치‧운영에 관한 지원 (
   6. 그 밖에 과학기술정보통신부장관, 관계 중앙행정기관의 장 또는 관할 지방자치단체의 장이 위탁하는 업무 (
   7. 그 밖에 진흥재단의 설립목적 달성을 위하여 필요한 사항 (
  ② 진흥재단은 특구의 특성화ㆍ차별화된 발전을 지원하고 특구육성사업을 효율적으로 추진하기 위하여 특구별로 지원조직을 설치하여야 한다. (",2. 진흥재단이 특구의 발전을 지원하기 위해 어떤 조치를 취해야 하나요?,,
,,,"3. 특구와 관련된 다음 각목의 투자유치사업
    가. 국내외 투자유치와 이를 위한 마케팅 및 홍보
    나. 국내외 투자자에 대한 상담·안내·홍보·조사와 민원사무의 처리대행 등 종합적 지원
    다. 그 밖에 내국인과 외국인 투자지원을 위하여 필요한 사항
   4. 과학기술정보통신부장관이 정하는 수익사업 ( 
   5. 직장어린이집 설치‧운영에 관한 지원 (
   6. 그 밖에 과학기술정보통신부장관, 관계 중앙행정기관의 장 또는 관할 지방자치단체의 장이 위탁하는 업무 (
   7. 그 밖에 진흥재단의 설립목적 달성을 위하여 필요한 사항 (
  ② 진흥재단은 특구의 특성화ㆍ차별화된 발전을 지원하고 특구육성사업을 효율적으로 추진하기 위하여 특구별로 지원조직을 설치하여야 한다. (",3. 과학기술정보통신부장관이 정하는 수익사업이란 무엇인가요?,,
4,4,,"제4조의2(경영목표의 수립) ① 이사장은 사업내용과 경영환경 등을 고려하여 임기 중 달성하여야 할 경영목표를 설정하고, 이사회의 의결을 거쳐 확정한 후 이를 과학기술정보통신부장관에게 제출하여야 한다. (
  ② 이사장이 제1항에 따라 수립된 경영목표를 변경하는 경우에는 그 변경 내용을 이사회 의결을 거쳐 확정한 후 지체 없이 과학기술정보통신부장관에게 제출하여야 한다. (","1. 이사장이 임기 중 달성해야 할 경영목표를 설정하는 과정은 어떻게 이루어지나요?

",,
,,,"제4조의2(경영목표의 수립) ① 이사장은 사업내용과 경영환경 등을 고려하여 임기 중 달성하여야 할 경영목표를 설정하고, 이사회의 의결을 거쳐 확정한 후 이를 과학기술정보통신부장관에게 제출하여야 한다. (
  ② 이사장이 제1항에 따라 수립된 경영목표를 변경하는 경우에는 그 변경 내용을 이사회 의결을 거쳐 확정한 후 지체 없이 과학기술정보통신부장관에게 제출하여야 한다. (",2. 이사장이 설정한 경영목표를 변경하려면 어떤 절차를 거쳐야 하나요?,,
,,,"제4조의2(경영목표의 수립) ① 이사장은 사업내용과 경영환경 등을 고려하여 임기 중 달성하여야 할 경영목표를 설정하고, 이사회의 의결을 거쳐 확정한 후 이를 과학기술정보통신부장관에게 제출하여야 한다. (
  ② 이사장이 제1항에 따라 수립된 경영목표를 변경하는 경우에는 그 변경 내용을 이사회 의결을 거쳐 확정한 후 지체 없이 과학기술정보통신부장관에게 제출하여야 한다. (",3. 경영목표를 설정하거나 변경한 후에는 어떤 단계를 거쳐야 하나요?,,
5,5,,제5조(업무의 위탁) ① 진흥재단은 사업의 원활한 추진을 위하여 필요한 경우에는 이사회의 의결과 과학기술정보통신부장관의 승인을 얻어 그 업무의 일부를 지방자치단체․법인․단체 또는 개인에게 위탁할 수 있다. (,"1. 진흥재단이 업무의 일부를 위탁할 수 있는 조건은 무엇인가요?
",,
,,,제5조(업무의 위탁) ① 진흥재단은 사업의 원활한 추진을 위하여 필요한 경우에는 이사회의 의결과 과학기술정보통신부장관의 승인을 얻어 그 업무의 일부를 지방자치단체․법인․단체 또는 개인에게 위탁할 수 있다. (,2. 진흥재단이 업무를 위탁할 수 있는 대상은 누구인가요?,,
,,,제5조(업무의 위탁) ① 진흥재단은 사업의 원활한 추진을 위하여 필요한 경우에는 이사회의 의결과 과학기술정보통신부장관의 승인을 얻어 그 업무의 일부를 지방자치단체․법인․단체 또는 개인에게 위탁할 수 있다. (,3. 진흥재단의 업무 위탁에 필요한 승인은 누구로부터 받아야 하는가요?,,
6,6,,"제2장  재산 및 회계

제6조(기본재산) ① 진흥재단의 재산은 기본재산과 보통재산으로 구분한다.
  ② 다음 각 호에 해당하는 재산은 기본재산으로 하고 기본재산 이외의 재산은 보통재산으로 한다. (
   1. 설립당시의 설립자 출연금
   2. 기부에 의하거나 기타 무상으로 취득한 재산. 다만, 기부목적에 비춰 기본재산으로 하기 곤란하여 과학기술정보통신부장관의 승인을 받은 것은 제외한다. (
   3. 매 회계연도의 결산상 잉여금 중 적립금
   4. 기타 이사회의 의결을 거쳐 기본재산으로 정한 재산

제7조(재산의 관리) ① 기본재산 및 이사회가 정하는 중요재산을 매각, 양도, 교환, 용도변경 또는 담보에 제공하고자 할 때에는 이사회의 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. (
  ② 진흥재단의 모든 재산의 평가는 취득당시의 거래가액에 의한다. 다만, 재평가를 실시한 재산은 재평가액으로 한다. (","1. 진흥재단의 재산은 어떤 것들로 구분되나요?

",,
,,,"제2장  재산 및 회계

제6조(기본재산) ① 진흥재단의 재산은 기본재산과 보통재산으로 구분한다.
  ② 다음 각 호에 해당하는 재산은 기본재산으로 하고 기본재산 이외의 재산은 보통재산으로 한다. (
   1. 설립당시의 설립자 출연금
   2. 기부에 의하거나 기타 무상으로 취득한 재산. 다만, 기부목적에 비춰 기본재산으로 하기 곤란하여 과학기술정보통신부장관의 승인을 받은 것은 제외한다. (
   3. 매 회계연도의 결산상 잉여금 중 적립금
   4. 기타 이사회의 의결을 거쳐 기본재산으로 정한 재산

제7조(재산의 관리) ① 기본재산 및 이사회가 정하는 중요재산을 매각, 양도, 교환, 용도변경 또는 담보에 제공하고자 할 때에는 이사회의 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. (
  ② 진흥재단의 모든 재산의 평가는 취득당시의 거래가액에 의한다. 다만, 재평가를 실시한 재산은 재평가액으로 한다. (",2. 기본재산에 해당하는 재산은 어떤 것들이 있나요?,,
,,,"제2장  재산 및 회계

제6조(기본재산) ① 진흥재단의 재산은 기본재산과 보통재산으로 구분한다.
  ② 다음 각 호에 해당하는 재산은 기본재산으로 하고 기본재산 이외의 재산은 보통재산으로 한다. (
   1. 설립당시의 설립자 출연금
   2. 기부에 의하거나 기타 무상으로 취득한 재산. 다만, 기부목적에 비춰 기본재산으로 하기 곤란하여 과학기술정보통신부장관의 승인을 받은 것은 제외한다. (
   3. 매 회계연도의 결산상 잉여금 중 적립금
   4. 기타 이사회의 의결을 거쳐 기본재산으로 정한 재산

제7조(재산의 관리) ① 기본재산 및 이사회가 정하는 중요재산을 매각, 양도, 교환, 용도변경 또는 담보에 제공하고자 할 때에는 이사회의 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. (
  ② 진흥재단의 모든 재산의 평가는 취득당시의 거래가액에 의한다. 다만, 재평가를 실시한 재산은 재평가액으로 한다. (",3. 진흥재단의 모든 재산의 평가는 어떻게 이루어지나요?,,
7,7,,"제8조(자금의 조달) 진흥재단은 제4조의 규정에 따른 사업을 수행하기 위하여 필요한 자금을 다음 각 호의 재원으로 조달한다. (
   1. 정부 또는 정부 아닌 자의 출연금 또는 보조금
   2. 채권발행으로 조성한 자금
   3. 차입금(외국으로부터 차입한 자금 및 도입한 물자를 포함한다)
   4. 수익사업의 수익금 (
   5. 국내‧외로부터의 기부금 (
   6. 그 밖의 수입금

제9조(자금의 차입) 진흥재단이 자금을 차입하고자 할 때에는 다음 각 호의 사항을 기재한 신청서를 과학기술정보통신부장관에게 제출하여 승인을 얻어야 한다. (
   1. 차입사유 및 차입금액(물자도입인 경우에는 물자의 종류․수량 및 그 가격)
   2. 차입선
   3. 차입조건
   4. 차입금의 상환방법 및 상환기한
   5. 기타 자금의 차입 및 상환에 관하여 필요한 서류","1. 진흥재단이 자금을 조달하는 방법은 무엇인가요?

",,
,,,"제8조(자금의 조달) 진흥재단은 제4조의 규정에 따른 사업을 수행하기 위하여 필요한 자금을 다음 각 호의 재원으로 조달한다. (
   1. 정부 또는 정부 아닌 자의 출연금 또는 보조금
   2. 채권발행으로 조성한 자금
   3. 차입금(외국으로부터 차입한 자금 및 도입한 물자를 포함한다)
   4. 수익사업의 수익금 (
   5. 국내‧외로부터의 기부금 (
   6. 그 밖의 수입금

제9조(자금의 차입) 진흥재단이 자금을 차입하고자 할 때에는 다음 각 호의 사항을 기재한 신청서를 과학기술정보통신부장관에게 제출하여 승인을 얻어야 한다. (
   1. 차입사유 및 차입금액(물자도입인 경우에는 물자의 종류․수량 및 그 가격)
   2. 차입선
   3. 차입조건
   4. 차입금의 상환방법 및 상환기한
   5. 기타 자금의 차입 및 상환에 관하여 필요한 서류",2. 진흥재단이 자금을 차입하려면 어떤 절차를 거쳐야 하나요?,,
,,,"제8조(자금의 조달) 진흥재단은 제4조의 규정에 따른 사업을 수행하기 위하여 필요한 자금을 다음 각 호의 재원으로 조달한다. (
   1. 정부 또는 정부 아닌 자의 출연금 또는 보조금
   2. 채권발행으로 조성한 자금
   3. 차입금(외국으로부터 차입한 자금 및 도입한 물자를 포함한다)
   4. 수익사업의 수익금 (
   5. 국내‧외로부터의 기부금 (
   6. 그 밖의 수입금

제9조(자금의 차입) 진흥재단이 자금을 차입하고자 할 때에는 다음 각 호의 사항을 기재한 신청서를 과학기술정보통신부장관에게 제출하여 승인을 얻어야 한다. (
   1. 차입사유 및 차입금액(물자도입인 경우에는 물자의 종류․수량 및 그 가격)
   2. 차입선
   3. 차입조건
   4. 차입금의 상환방법 및 상환기한
   5. 기타 자금의 차입 및 상환에 관하여 필요한 서류",3. 진흥재단이 차입금을 상환하는 방법과 기한에 대한 정보는 어떻게 제공해야 하나요?,,
8,8,,"제10조(다른 사업에의 출자) ① 진흥재단이 제4조의 사업을 효율적으로 수행하기 위하여 관련된 사업에 출자 또는 출연하고자 하는 때에는 과학기술정보통신부장관 및 기획재정부장관과 사전에 협의를 하고, 이사회 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. (
  ② 진흥재단이 제1항에 의한 승인을 얻고자 하는 경우에는 다음 각 호의 사항이 포함된 승인신청서를 과학기술정보통신부장관에게 제출하여야 한다. 1. 출자 또는 출연의 필요성
   2. 출자 또는 출연할 재산의 종류 및 출자 또는 출연가액
   3. 사업개요
   4. 그밖에 출자 또는 출연에 관하여 필요한 사항                                                                                                              제10조의2(출자회사) ① 진흥재단은 간접고용 근로자의 정규직 전환을 통한 고용안정 및 처우개선을 위해 출자회사를 설립할 수 있다.
  ② 진흥재단은 보유하거나 위탁 운영하는 시설물의 설비관리, 경비, 미화 등 시설관리 업무의 일부를 제1항에 따라 설립한 출자회사에 위탁 할 수 있다.
  ③ 출자회사 관리에 필요한 사항은 별도의 지침으로 정할 수 있다","1. 진흥재단이 제4조의 사업을 효율적으로 수행하기 위해 관련된 사업에 출자 또는 출연하고자 할 때 필요한 절차는 무엇인가요?

",,
,,,"제10조(다른 사업에의 출자) ① 진흥재단이 제4조의 사업을 효율적으로 수행하기 위하여 관련된 사업에 출자 또는 출연하고자 하는 때에는 과학기술정보통신부장관 및 기획재정부장관과 사전에 협의를 하고, 이사회 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. (
  ② 진흥재단이 제1항에 의한 승인을 얻고자 하는 경우에는 다음 각 호의 사항이 포함된 승인신청서를 과학기술정보통신부장관에게 제출하여야 한다. 1. 출자 또는 출연의 필요성
   2. 출자 또는 출연할 재산의 종류 및 출자 또는 출연가액
   3. 사업개요
   4. 그밖에 출자 또는 출연에 관하여 필요한 사항                                                                                                              제10조의2(출자회사) ① 진흥재단은 간접고용 근로자의 정규직 전환을 통한 고용안정 및 처우개선을 위해 출자회사를 설립할 수 있다.
  ② 진흥재단은 보유하거나 위탁 운영하는 시설물의 설비관리, 경비, 미화 등 시설관리 업무의 일부를 제1항에 따라 설립한 출자회사에 위탁 할 수 있다.
  ③ 출자회사 관리에 필요한 사항은 별도의 지침으로 정할 수 있다",2. 진흥재단이 승인을 얻기 위해 제출해야 하는 승인신청서에는 어떤 내용이 포함되어야 하나요?,,
,,,"제10조(다른 사업에의 출자) ① 진흥재단이 제4조의 사업을 효율적으로 수행하기 위하여 관련된 사업에 출자 또는 출연하고자 하는 때에는 과학기술정보통신부장관 및 기획재정부장관과 사전에 협의를 하고, 이사회 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. (
  ② 진흥재단이 제1항에 의한 승인을 얻고자 하는 경우에는 다음 각 호의 사항이 포함된 승인신청서를 과학기술정보통신부장관에게 제출하여야 한다. 1. 출자 또는 출연의 필요성
   2. 출자 또는 출연할 재산의 종류 및 출자 또는 출연가액
   3. 사업개요
   4. 그밖에 출자 또는 출연에 관하여 필요한 사항                                                                                                              제10조의2(출자회사) ① 진흥재단은 간접고용 근로자의 정규직 전환을 통한 고용안정 및 처우개선을 위해 출자회사를 설립할 수 있다.
  ② 진흥재단은 보유하거나 위탁 운영하는 시설물의 설비관리, 경비, 미화 등 시설관리 업무의 일부를 제1항에 따라 설립한 출자회사에 위탁 할 수 있다.
  ③ 출자회사 관리에 필요한 사항은 별도의 지침으로 정할 수 있다",3. 진흥재단이 출자회사를 설립하고 그 회사에 일부 업무를 위탁할 수 있는 이유와 조건은 무엇인가요?,,
9,9,,"제11조(예산서 등의 승인) 진흥재단은 매 사업연도가 시작되기 전까지 다음 연도의 사업계획서와 예산서를 작성하여 이사회의 의결을 거쳐 과학기술정보통신부장관의 승인을 받아야 한다. 사업계획서와 예산서를 변경하는 경우에도 또한 같다. 
  (

제11조의2(준예산) ① 진흥재단은 부득이한 사유로 회계연도가 시작되기 전까지 예산이 확정되지 아니한 경우에는 전 회계연도의 예산에 준하여 예산(이하 ‘준예산’이라 한다)을 편성하여 운용할 수 있다.
  ② 준예산은 그 회계연도의 예산이 확정된 경우에는 그 효력을 잃는다. 이 경우 준예산에 따라 집행된 예산은 이를 그 회계연도의 예산에 따라 집행된 것으로 본다.","1. 진흥재단이 사업연도가 시작되기 전까지 완료해야 하는 작업은 무엇인가요?

",,
,,,"제11조(예산서 등의 승인) 진흥재단은 매 사업연도가 시작되기 전까지 다음 연도의 사업계획서와 예산서를 작성하여 이사회의 의결을 거쳐 과학기술정보통신부장관의 승인을 받아야 한다. 사업계획서와 예산서를 변경하는 경우에도 또한 같다. 
  (

제11조의2(준예산) ① 진흥재단은 부득이한 사유로 회계연도가 시작되기 전까지 예산이 확정되지 아니한 경우에는 전 회계연도의 예산에 준하여 예산(이하 ‘준예산’이라 한다)을 편성하여 운용할 수 있다.
  ② 준예산은 그 회계연도의 예산이 확정된 경우에는 그 효력을 잃는다. 이 경우 준예산에 따라 집행된 예산은 이를 그 회계연도의 예산에 따라 집행된 것으로 본다.",2. 진흥재단이 예산서를 변경하려면 어떤 절차를 거쳐야 하나요?,,
,,,"제11조(예산서 등의 승인) 진흥재단은 매 사업연도가 시작되기 전까지 다음 연도의 사업계획서와 예산서를 작성하여 이사회의 의결을 거쳐 과학기술정보통신부장관의 승인을 받아야 한다. 사업계획서와 예산서를 변경하는 경우에도 또한 같다. 
  (

제11조의2(준예산) ① 진흥재단은 부득이한 사유로 회계연도가 시작되기 전까지 예산이 확정되지 아니한 경우에는 전 회계연도의 예산에 준하여 예산(이하 ‘준예산’이라 한다)을 편성하여 운용할 수 있다.
  ② 준예산은 그 회계연도의 예산이 확정된 경우에는 그 효력을 잃는다. 이 경우 준예산에 따라 집행된 예산은 이를 그 회계연도의 예산에 따라 집행된 것으로 본다.","3. 준예산이란 무엇이며, 그 효력은 어떻게 결정되나요?",,
10,10,,"제12조(결산보고) ① 진흥재단은 매 회계연도 종료 후 결산서를 작성하여 회계감사인의 회계감사를 받아야 한다. ( (
  ② 진흥재단은 법 제61조에 따라 매 사업연도의 세입세출결산보고서에 다음 각 호의 서류를 첨부하여 이사회의 의결을 거친 후 다음 연도 2월말까지 과학기술정보통신부장관에게 제출하고, 3월 말일까지 승인을 받아 결산을 확정하여야 한다. (
   1. 당해 연도 재무상태표 및 손익계산서 (
   2. 당해 연도의 사업계획과 그 집행실적의 대비표
   3. 당해 감사를 한 공인회계사의 의견서와 감사의 의견서
   4. 그밖에 결산내용을 확인할 수 있는 서류

제12조의2(회계감사인의 선임 등) ① 진흥재단은 회계감사인을 선임하기 위하여 전문성과 독립성이 확보된 회계감사인선임위원회를 구성·운영하여야 한다. 
  ② 회계감사인선임위원회의 구성 및 운영과 관하여 필요한 사항은 따로 정한다.
  [본조신설 2018.05.02]

제12조의3(기부금의 공개) 진흥재단은 인터넷 홈페이지를 통하여 연간 기부금 모금액 및 활용실적을 공개한다.
  [본조신설 2019.01.21]","1. 진흥재단이 매 회계연도 종료 후 어떤 절차를 거쳐야 하는지 설명하시오.

",,
,,,"제12조(결산보고) ① 진흥재단은 매 회계연도 종료 후 결산서를 작성하여 회계감사인의 회계감사를 받아야 한다. ( (
  ② 진흥재단은 법 제61조에 따라 매 사업연도의 세입세출결산보고서에 다음 각 호의 서류를 첨부하여 이사회의 의결을 거친 후 다음 연도 2월말까지 과학기술정보통신부장관에게 제출하고, 3월 말일까지 승인을 받아 결산을 확정하여야 한다. (
   1. 당해 연도 재무상태표 및 손익계산서 (
   2. 당해 연도의 사업계획과 그 집행실적의 대비표
   3. 당해 감사를 한 공인회계사의 의견서와 감사의 의견서
   4. 그밖에 결산내용을 확인할 수 있는 서류

제12조의2(회계감사인의 선임 등) ① 진흥재단은 회계감사인을 선임하기 위하여 전문성과 독립성이 확보된 회계감사인선임위원회를 구성·운영하여야 한다. 
  ② 회계감사인선임위원회의 구성 및 운영과 관하여 필요한 사항은 따로 정한다.
  [본조신설 2018.05.02]

제12조의3(기부금의 공개) 진흥재단은 인터넷 홈페이지를 통하여 연간 기부금 모금액 및 활용실적을 공개한다.
  [본조신설 2019.01.21]",2. 진흥재단이 세입세출결산보고서에 첨부하여 제출해야 하는 서류는 무엇인지 나열하시오.,,
,,,"제12조(결산보고) ① 진흥재단은 매 회계연도 종료 후 결산서를 작성하여 회계감사인의 회계감사를 받아야 한다. ( (
  ② 진흥재단은 법 제61조에 따라 매 사업연도의 세입세출결산보고서에 다음 각 호의 서류를 첨부하여 이사회의 의결을 거친 후 다음 연도 2월말까지 과학기술정보통신부장관에게 제출하고, 3월 말일까지 승인을 받아 결산을 확정하여야 한다. (
   1. 당해 연도 재무상태표 및 손익계산서 (
   2. 당해 연도의 사업계획과 그 집행실적의 대비표
   3. 당해 감사를 한 공인회계사의 의견서와 감사의 의견서
   4. 그밖에 결산내용을 확인할 수 있는 서류

제12조의2(회계감사인의 선임 등) ① 진흥재단은 회계감사인을 선임하기 위하여 전문성과 독립성이 확보된 회계감사인선임위원회를 구성·운영하여야 한다. 
  ② 회계감사인선임위원회의 구성 및 운영과 관하여 필요한 사항은 따로 정한다.
  [본조신설 2018.05.02]

제12조의3(기부금의 공개) 진흥재단은 인터넷 홈페이지를 통하여 연간 기부금 모금액 및 활용실적을 공개한다.
  [본조신설 2019.01.21]",3. 진흥재단이 연간 기부금 모금액 및 활용실적을 어떻게 공개하는지 설명하시오.,,
